player_name,team_name,passes,pass_danger
Marvin Friedrich,Schalke 04,1,0.23247934441846158
Özkan Yıldırım,Werder Bremen,7,0.16467106266090656
Nico Schulz,Borussia Mönchengladbach,8,0.14550337177219888
Adnan Januzaj,Borussia Dortmund,57,0.14498786941894354
Kevin Kampl,Borussia Dortmund,9,0.1393576442014183
Filip Kostić,VfB Stuttgart,1089,0.11875630079525018
Melvyn Lorenzen,Werder Bremen,24,0.11490282940194836
Tim Dierßen,Hannover 96,3,0.11401364937744825
Karim Bellarabi,Bayer Leverkusen,875,0.11346020108644131
Noah-Joel Sarenren-Bazee,Hannover 96,60,0.11314027135872766
Levin Mete Öztunali,Werder Bremen,375,0.10981444211778713
Douglas Costa de Souza,Bayern Munich,1118,0.1094627827904644
Marcel Heller,Darmstadt 98,605,0.1089793997648565
Arjen Robben,Bayern Munich,620,0.10784069445957546
Karim Onisiwo,FSV Mainz 05,72,0.10755735906529643
Heung-Min Son,Bayer Leverkusen,18,0.10738600666217399
Robbie Kruse,Bayer Leverkusen,143,0.10663946460329973
Henrikh Mkhitaryan,Borussia Dortmund,1487,0.10650718919756202
Franck Bilal Ribéry,Bayern Munich,558,0.10621246918942673
Kingsley Coman,Bayern Munich,878,0.10574510375766148
Konstantin Rausch,Darmstadt 98,633,0.10555372431665638
Sascha Mölders,Augsburg,7,0.10282697176005577
Jonas Hofmann,Borussia Dortmund,125,0.10196629619359115
Gian-Luca Waldschmidt,Eintracht Frankfurt,72,0.10116201505381105
Kevin De Bruyne,Wolfsburg,107,0.10110043250833026
Roy Beerens,Hertha Berlin,25,0.10079614837689616
Marco Reus,Borussia Dortmund,814,0.1006363374647458
Christian Pulisic,Borussia Dortmund,190,0.10012868020332252
Dario Lezcano,Ingolstadt,311,0.09995624957855348
Kevin Volland,Hoffenheim,921,0.09994700460527303
Branimir Hrgota,Borussia Mönchengladbach,39,0.0996210035804425
Pierre-Emerick Aubameyang,Borussia Dortmund,552,0.09902318763239461
Zoltán Stieber,Hamburger SV,2,0.09819288741787616
Jan Kliment,VfB Stuttgart,45,0.09812799632610757
Jonathan Schmid,Hoffenheim,419,0.09777960950506565
Nabil Bahoui,Hamburger SV,56,0.09713257766030234
Thomas Müller,Bayern Munich,1112,0.09706505455256666
Admir Mehmedi,Bayer Leverkusen,564,0.09677152685302852
Alexandru Iulian Maxim,VfB Stuttgart,627,0.09557112189198885
Mijat Gaćinović,Eintracht Frankfurt,123,0.09498130733132264
Christian Clemens,FSV Mainz 05,535,0.0949371719319843
Tobias Werner,Augsburg,193,0.09488810375625678
Aron Jóhannsson,Werder Bremen,100,0.09474108875006147
Yoshinori Muto,FSV Mainz 05,265,0.09443226049224585
Sidney Sam,Schalke 04,9,0.09429359215096661
Alexander Baumjohann,Hertha Berlin,230,0.09421073599888206
Zlatko Junuzović,Werder Bremen,1071,0.09357379997553597
Maximilian Eggestein,Werder Bremen,62,0.09350004400454284
Thorgan Hazard,Borussia Mönchengladbach,823,0.09291954155911361
Ibrahima Traoré,Borussia Mönchengladbach,775,0.09283292392679329
Allan Saint-Maximin,Hannover 96,137,0.09274069347706797
Valmir Sulejmani,Hannover 96,33,0.09191001139126517
Ivica Olić,Hamburger SV,54,0.09180535354083147
Ja-Cheol Koo,FSV Mainz 05,11,0.09176793716148532
Julian Brandt,Bayer Leverkusen,735,0.0913720281865163
Valentin Stocker,Hertha Berlin,212,0.09111444173126344
Tobias Kempe,Darmstadt 98,437,0.09108235695629582
Hakan Çalhanoğlu,Bayer Leverkusen,1457,0.09040327950167511
Stefan Lex,Ingolstadt,160,0.09020118491863247
Ronny Heberson Furtado de Araújo,Hertha Berlin,10,0.08985407221422446
Alessandro Schöpf,Schalke 04,176,0.08930633377818327
Lukas Klünter,FC Köln,5,0.08918092107356416
Jairo Samperio Bustara,FSV Mainz 05,658,0.08903586427520285
Daniel Ginczek,VfB Stuttgart,190,0.08888990300887054
Patrick Herrmann,Borussia Mönchengladbach,222,0.08841786213092727
Bruno Henrique Pinto,Wolfsburg,77,0.08831493971768441
Maximilian Beister,FSV Mainz 05,1,0.08812396285121481
Leroy Sané,Schalke 04,616,0.08778031178326971
Miloš Jojić,FC Köln,222,0.08765117424236606
Joel Gerezgiher,Eintracht Frankfurt,31,0.08750138804384466
Borys Tashchy,VfB Stuttgart,52,0.08746249722306028
Alexander Esswein,Augsburg,568,0.08743742545294647
Andrej Kramarić,Hoffenheim,336,0.08715080897440652
Änis Ben-Hatira,Eintracht Frankfurt,168,0.08705935468815659
Ivan Perišić,Wolfsburg,84,0.08705158771483658
Arianit Ferati,VfB Stuttgart,46,0.08702371843548393
Timo Werner,VfB Stuttgart,562,0.08673332567600087
Raffael Caetano de Araújo,Borussia Mönchengladbach,1184,0.08665017241192687
Pascal Groß,Ingolstadt,2026,0.0864646749733061
Joelinton Cassio Apolinário de Lira,Hoffenheim,3,0.08604414746352516
László Kleinheisler,Werder Bremen,78,0.0857917023140358
Lukas Hinterseer,Ingolstadt,543,0.08473856448358655
Felix Klaus,Hannover 96,208,0.08473271035302322
Stefan Aigner,Eintracht Frankfurt,762,0.08469517880772087
Nadiem Amiri,Hoffenheim,630,0.0846923468898464
Robert Lewandowski,Bayern Munich,765,0.0846695808090781
Mathew Leckie,Ingolstadt,926,0.0844756115286098
Václav Kadlec,Eintracht Frankfurt,15,0.08441393260162561
