player_name,team_name,passes,pass_danger
Zoltán Stieber,Hamburger SV,2,0.2608032375598144
Adnan Januzaj,Borussia Dortmund,57,0.1606952428852934
Tim Dierßen,Hannover 96,3,0.15979361022675392
Nico Schulz,Borussia Mönchengladbach,8,0.15620281621541587
Heung-Min Son,Bayer Leverkusen,18,0.15159963998323728
Leandro Putaro,Wolfsburg,12,0.13877365166089936
Özkan Yıldırım,Werder Bremen,7,0.1371584997259399
Fabian Reese,Schalke 04,3,0.1329622018419266
Sascha Mölders,Augsburg,7,0.13006277355505927
Jan Kliment,VfB Stuttgart,45,0.12441459201552198
Nabil Bahoui,Hamburger SV,56,0.11675521711526352
Marco Reus,Borussia Dortmund,814,0.11596627459050152
Jonathan Schmid,Hoffenheim,419,0.11546023112833805
Levin Mete Öztunali,Werder Bremen,375,0.11491039393210095
Pierre-Emerick Aubameyang,Borussia Dortmund,552,0.11308171124688336
Henrikh Mkhitaryan,Borussia Dortmund,1487,0.11281074103850615
Douglas Costa de Souza,Bayern Munich,1118,0.11261690627725705
Noah-Joel Sarenren-Bazee,Hannover 96,60,0.11162332720786437
Marcel Heller,Darmstadt 98,605,0.11041189003396701
Karim Bellarabi,Bayer Leverkusen,875,0.10908321994527002
Karim Onisiwo,FSV Mainz 05,72,0.10869900220984466
Jonas Hofmann,Borussia Dortmund,125,0.10841263436274483
Melvyn Lorenzen,Werder Bremen,24,0.10788208658248688
Christian Pulisic,Borussia Dortmund,190,0.10776290724331163
Zlatko Junuzović,Werder Bremen,1071,0.10776024559044389
Thomas Müller,Bayern Munich,1112,0.10763215878886283
Kevin De Bruyne,Wolfsburg,107,0.10749442645665075
Julian Schieber,Hertha Berlin,31,0.10632071480425218
Tobias Kempe,Darmstadt 98,437,0.10631618276824911
Arjen Robben,Bayern Munich,620,0.10607759850915134
Franck Bilal Ribéry,Bayern Munich,558,0.10548386915765397
Sidney Sam,Schalke 04,9,0.10515466889242411
Dario Lezcano,Ingolstadt,311,0.10456528422569836
Ádám Szalai,Hannover 96,233,0.1044908865547137
Philipp Hosiner,FC Köln,154,0.10439310978105322
Yoshinori Muto,FSV Mainz 05,265,0.10403369777935433
Robbie Kruse,Bayer Leverkusen,143,0.10352611467382364
Stefan Lex,Ingolstadt,160,0.1033629948296497
Josip Drmic,Borussia Mönchengladbach,142,0.10310714748014173
Kevin Volland,Hoffenheim,921,0.10274822858903263
Daniel Ginczek,VfB Stuttgart,190,0.10226286462900844
Tim Matavž,Augsburg,71,0.10182167021995839
Christian Clemens,FSV Mainz 05,535,0.10104547537596838
Filip Kostić,VfB Stuttgart,1089,0.10043881438720852
Branimir Hrgota,Borussia Mönchengladbach,39,0.10004420470114415
Kingsley Coman,Bayern Munich,878,0.09971393520325135
Gustavo Adrián Ramos Vásquez,Borussia Dortmund,258,0.09961742027785789
Konstantin Rausch,Darmstadt 98,633,0.09956560411429549
Tobias Werner,Augsburg,193,0.09927230756445554
Hugo Miguel Pereira de Almeida,Hannover 96,210,0.09887947845545395
Thorgan Hazard,Borussia Mönchengladbach,823,0.09842266636019288
Hakan Çalhanoğlu,Bayer Leverkusen,1457,0.09783157276355543
Borys Tashchy,VfB Stuttgart,52,0.09753840201743236
Robert Lewandowski,Bayern Munich,765,0.09588334576835174
Eduardo Jesús Vargas Rojas,Hoffenheim,557,0.09486216559578929
Artoms Rudņevs,Hamburger SV,163,0.0947747809886283
Raúl Marcelo Bobadilla,Augsburg,506,0.09468418163136556
Anthony Ujah,Werder Bremen,593,0.09457146138750416
Alexander Esswein,Augsburg,568,0.093747710003105
Mijat Gaćinović,Eintracht Frankfurt,123,0.09370003643474223
Valmir Sulejmani,Hannover 96,33,0.09359939194191198
Raffael Caetano de Araújo,Borussia Mönchengladbach,1184,0.0934990763453736
Bruno Henrique Pinto,Wolfsburg,77,0.09349259604717977
Gian-Luca Waldschmidt,Eintracht Frankfurt,72,0.09333906085819861
Leroy Sané,Schalke 04,616,0.09328282516910255
Allan Saint-Maximin,Hannover 96,137,0.0931372609319895
Alessandro Schöpf,Schalke 04,176,0.09290281280592644
Aron Jóhannsson,Werder Bremen,100,0.09275016677115946
Fin Bartels,Werder Bremen,663,0.09271730666755874
Julian Brandt,Bayer Leverkusen,735,0.09268333236706026
Alexandru Iulian Maxim,VfB Stuttgart,627,0.09261627721250015
Sandro Sirigu,Darmstadt 98,28,0.09246500582958136
Joel Gerezgiher,Eintracht Frankfurt,31,0.09222797438257338
Albian Afrim Ajeti,Augsburg,8,0.09194149748746451
Marco Sailer,Darmstadt 98,66,0.09156275032659297
Admir Mehmedi,Bayer Leverkusen,564,0.0914934691407777
Javier Hernández Balcázar,Bayer Leverkusen,549,0.09102627274528952
Yunus Mallı,FSV Mainz 05,873,0.09090656952765469
Jairo Samperio Bustara,FSV Mainz 05,658,0.09038006179777905
Salomon Armand Magloire Kalou,Hertha Berlin,666,0.09033605030944153
Miloš Jojić,FC Köln,222,0.089346561728327
Patrick Herrmann,Borussia Mönchengladbach,222,0.08866092445235828
Maximilian Eggestein,Werder Bremen,62,0.08844034726935757
Ibrahima Traoré,Borussia Mönchengladbach,775,0.08841859744666117
Valentin Stocker,Hertha Berlin,212,0.08835381103352148
Kevin Kuranyi,Hoffenheim,183,0.08703718672527569
Leonardo Bittencourt,FC Köln,866,0.08692628008233443
Julian Draxler,Wolfsburg,726,0.08654517822020706
Kevin Kampl,Borussia Dortmund,9,0.08644458335491083
Ivan Perišić,Wolfsburg,84,0.0862068978588948
Nadiem Amiri,Hoffenheim,630,0.08603953623389302
Alexander Baumjohann,Hertha Berlin,230,0.08567578505929355
Haris Seferović,Eintracht Frankfurt,900,0.0856162792758011
Steven Zuber,Hoffenheim,220,0.08524936010930158
Moritz Hartmann,Ingolstadt,574,0.08519778366900584
Ahmet Metin Arslan,Hamburger SV,1,0.08507410638515932
Mario Götze,Bayern Munich,547,0.08490750658064751
Luc Castaignos,Eintracht Frankfurt,208,0.08463642554220827
Felix Klaus,Hannover 96,208,0.08455323656119068
Mathew Leckie,Ingolstadt,926,0.08451650361124273
Pascal Groß,Ingolstadt,2026,0.08439968736630814
Aaron Hunt,Hamburger SV,805,0.08421520194609271
Alfreð Finnbogason,Augsburg,292,0.08396571262902702
Andrej Kramarić,Hoffenheim,336,0.08393389843261466
Klaas-Jan Huntelaar,Schalke 04,520,0.08375733078961121
Moritz Leitner,Borussia Dortmund,244,0.08362658476672047
Phillipp Klement,FSV Mainz 05,24,0.0833694024142474
Timo Werner,VfB Stuttgart,562,0.08318231006588749
Lukas Hinterseer,Ingolstadt,543,0.08284277082064477
László Kleinheisler,Werder Bremen,78,0.08235024538375287
Mustafa Batuhan Altıntaş,Hamburger SV,6,0.08224234266193568
Claudio Miguel Pizarro Bossio,Werder Bremen,593,0.08180639966001702
Hiroshi Kiyotake,Hannover 96,996,0.08169305995701191
Dominik Stroh-Engel,Darmstadt 98,119,0.08151926819891774
Younès Belhanda,Schalke 04,408,0.08138817027313644
Maximilian Beister,FSV Mainz 05,1,0.08103484233471621
Ja-Cheol Koo,FSV Mainz 05,11,0.0805770264654857
Szabolcs Huszti,Eintracht Frankfurt,678,0.08053271356218086
Mario Vrančić,Darmstadt 98,335,0.0803494040860131
Marco Jhonfai Fabián De La Mora,Eintracht Frankfurt,431,0.08032844922759591
Stefan Kießling,Bayer Leverkusen,634,0.08032588613251233
Ivica Olić,Hamburger SV,54,0.0798778196111351
Alfredo Morales,Ingolstadt,526,0.07948147390582627
Sandro Wagner,Darmstadt 98,914,0.07890460211243053
Simon Zoller,FC Köln,276,0.07886378316864212
Franco Matías Di Santo,Schalke 04,299,0.07863639762987353
Caiuby Francisco da Silva,Augsburg,771,0.07842111982958476
Martin Harnik,VfB Stuttgart,335,0.07834340780618018
Jhon Andrés Córdoba Copete,FSV Mainz 05,266,0.07832573425736393
Sven Schipplock,Hamburger SV,257,0.07826973093753277
Tarik Elyounoussi,Hoffenheim,160,0.07811569687909024
Francisco José Rodriguez Araya,Wolfsburg,19,0.07803992262004655
Max Kruse,Wolfsburg,1119,0.07795326372014999
Elias Kachunga,Ingolstadt,75,0.07737155061044267
Pablo Ezequiel De Blasis,FSV Mainz 05,622,0.07702927046329155
Lars Edi Stindl,Borussia Mönchengladbach,1413,0.07698887811372097
Genki Haraguchi,Hertha Berlin,778,0.07670479415816767
Anthony Modeste,FC Köln,618,0.07669316768396212
Jonas Hofmann,Borussia Mönchengladbach,127,0.07663477772456975
Jean-Eric Maxim Choupo-Moting,Schalke 04,732,0.07641202743459209
Arianit Ferati,VfB Stuttgart,46,0.07604357784240597
Daniel Caligiuri,Wolfsburg,844,0.0760361098977122
Marcel Risse,FC Köln,1504,0.07600192382163336
Kenan Karaman,Hannover 96,505,0.07578187136566106
Dong-Won Ji,Augsburg,308,0.07567878836355493
Stefan Aigner,Eintracht Frankfurt,762,0.0750413549533831
Daniel Didavi,VfB Stuttgart,1027,0.07496309062492651
Max Meyer,Schalke 04,1023,0.07463638160134474
Mevlüt Erdinç,Hannover 96,49,0.07462577112636215
Jan Rosenthal,Darmstadt 98,375,0.0741442251883326
Josip Drmic,Hamburger SV,137,0.07406351937967921
Dušan Švento,FC Köln,62,0.07396376943161484
Julian Draxler,Schalke 04,116,0.07380820548895163
Shinji Kagawa,Borussia Dortmund,1436,0.07376072333816563
Kazuki Nagasawa,FC Köln,16,0.07366928167498203
Lukas Fröde,Werder Bremen,50,0.07347246819390907
Edgar Prib,Hannover 96,630,0.073094768745911
Uffe Manich Bech,Hannover 96,212,0.07284698069010816
Sambou Yatabaré,Werder Bremen,223,0.07283881964246365
Nicolai Müller,Hamburger SV,686,0.07281185119326117
Nicklas Bendtner,Wolfsburg,104,0.07198572802056036
Mark Uth,Hoffenheim,388,0.07154884277834136
Ivo Iličević,Hamburger SV,839,0.0715366728966033
Johannes van den Bergh,Hertha Berlin,98,0.07138339870218577
Gonzalo Castro Randon,Borussia Dortmund,1016,0.0713561738648502
Vedad Ibišević,Hertha Berlin,571,0.07129506666417243
Pierre-Michel Lasogga,Hamburger SV,491,0.07095826252951774
Ádám Szalai,Hoffenheim,31,0.07068125822681653
Tomáš Pekhart,Ingolstadt,19,0.0697738314506602
Felix Platte,Darmstadt 98,48,0.06965625861543552
Iver Tobias Rørvik Fossum,Hannover 96,323,0.06963156559105246
Marcel Hartel,FC Köln,48,0.06854219223659623
Änis Ben-Hatira,Eintracht Frankfurt,168,0.06844218897848761
André Schürrle,Wolfsburg,732,0.06832351614250598
Lukas Rupp,VfB Stuttgart,978,0.06826763599071597
Artem Kravets,VfB Stuttgart,180,0.06821784263878604
Filip Mladenović,FC Köln,383,0.06759260089880943
Fabian Johnson,Borussia Mönchengladbach,917,0.0674574041406027
Ismail Azzaoui,Wolfsburg,9,0.067175166703838
André Hahn,Borussia Mönchengladbach,267,0.06684982120763988
Johannes Flum,Eintracht Frankfurt,80,0.06675580224908666
Roberto Hilbert,Bayer Leverkusen,467,0.06657061212654466
Michael Gregoritsch,Hamburger SV,595,0.0661033428604293
Adelino André Vieira Freitas,Wolfsburg,1304,0.06608727084773484
Charlison Benschop,Hannover 96,74,0.0653608386620078
Maurice Multhaup,Ingolstadt,18,0.06507832481766362
Bas Dost,Wolfsburg,398,0.06504994366256739
Danilo Teodoro Soares,Ingolstadt,36,0.06496934003537533
Yūya Ōsako,FC Köln,487,0.06472029660041687
Ronny Heberson Furtado de Araújo,Hertha Berlin,10,0.06445193007346993
Thiago Alcântara do Nascimento,Bayern Munich,1590,0.06404884526789077
Robbie Kruse,VfB Stuttgart,27,0.0631781083366722
Artur Sobiech,Hannover 96,415,0.0631276975916667
Christoph Moritz,FSV Mainz 05,118,0.06220327462416554
Marc Stendera,Eintracht Frankfurt,1078,0.06203166111012189
Roy Beerens,Hertha Berlin,25,0.06154371273137386
Kevin Kampl,Bayer Leverkusen,1041,0.06132139255667965
Sebastian Jung,Wolfsburg,374,0.06118658595782891
Leon Andreasen,Hannover 96,389,0.061112561598006494
Jérôme Gondorf,Darmstadt 98,872,0.06109934317228486
Marcel  Hilßner,Werder Bremen,12,0.06092631471821395
Marvin Friedrich,Schalke 04,1,0.06064829410818436
Uilson de Souza Paula Júnior,Schalke 04,1285,0.060325795751544065
Arturo Erasmo Vidal Pardo,Bayern Munich,2027,0.06017941236506534
Jiloan Hamad,Hoffenheim,126,0.060084317998536654
Piotr Trochowski,Augsburg,77,0.05984394364847483
Alexander Meier,Eintracht Frankfurt,483,0.05939387055098032
Ja-Cheol Koo,Augsburg,832,0.05914863342327824
Markus Suttner,Ingolstadt,618,0.05871395947806706
Aaron Hunt,Wolfsburg,65,0.05871010430240051
Marco Höger,Schalke 04,118,0.058700007828930374
Yannick Gerhardt,FC Köln,795,0.05866759569351629
Halil Altıntop,Augsburg,378,0.05809941615365591
İlkay Gündoğan,Borussia Dortmund,2007,0.05787662043056633
Max Christiansen,Ingolstadt,457,0.05771717688210773
Jan Morávek,Augsburg,177,0.0576266821821432
Florian Niederlechner,FSV Mainz 05,37,0.057567841787695924
Mitchell Weiser,Hertha Berlin,1228,0.05724599192944707
Janek Sternberg,Werder Bremen,201,0.05661001385379232
Marcel Schmelzer,Borussia Dortmund,1602,0.05650348482486083
Sebastian Rudy,Hoffenheim,964,0.056471506876224355
Philipp Ochs,Hoffenheim,246,0.056410016980336354
Christian Gentner,VfB Stuttgart,1354,0.05639612044664684
Stefan Wannenwetsch,Ingolstadt,9,0.05595306253847589
Sebastian Rode,Bayern Munich,311,0.05589041292098735
Marcel Schäfer,Wolfsburg,772,0.05583572708792969
Vladimír Darida,Hertha Berlin,1710,0.055408390762850444
Julian Korb,Borussia Mönchengladbach,759,0.05460560368417596
Miiko Martín Albornoz Inola,Hannover 96,1039,0.05425854059981842
Ulisses Alexandre Garcia Lopes,Werder Bremen,243,0.05421742170719336
Florian Klein,VfB Stuttgart,670,0.054017276453182037
Lukas Klünter,FC Köln,5,0.05396426611927294
Charles Mariano Aránguiz Sandoval,Bayer Leverkusen,224,0.0537749882633349
Florian Grillitsch,Werder Bremen,913,0.05360290565760855
Jonas Hector,FC Köln,1853,0.053529224641866185
Daniel Baier,Augsburg,1511,0.05350574642740967
Sonny Kittel,Eintracht Frankfurt,95,0.05324820817726303
Pavel Kadeřábek,Hoffenheim,1045,0.05303696874192158
Johannes Geis,Schalke 04,1701,0.05284334558765441
Matthias Ginter,Borussia Dortmund,1336,0.05279331384228058
Lewis Harry Holtby,Hamburger SV,1795,0.052508514841960466
Theodor Gebre Selassie,Werder Bremen,1419,0.05229720149375764
