player_name,team_name,passes,pass_danger
Samuel García Sánchez,Levante UD,2,0.23615007819195666
Carlos Joaquín Correa,Sevilla,18,0.17151482761046183
Nicola Sansone,Villarreal,24,0.16433994301860402
David Remeseiro Salgueiro,Levante UD,21,0.1598498568432826
Enes Ünal,Villarreal,7,0.15029726350597178
Claudio Beauvue,Leganés,4,0.14556825135772553
Manuel Agudo Durán,Sevilla,7,0.13696963521005673
Luis Alberto Suárez Díaz,Barcelona,538,0.13582935913790914
Santiago Mina Lorenzo,Valencia,20,0.13206024374283937
Lionel Andrés Messi Cuccittini,Barcelona,1137,0.12695899701921265
Marco Asensio Willemsen,Real Madrid,45,0.12670191851819645
Gerard Moreno Balaguero,Espanyol,47,0.12308525680226638
Iñigo Córdoba Kerejeta,Athletic Club,28,0.12045767461302402
Ousmane Dembélé,Barcelona,255,0.12001669889099703
Gerard Deulofeu Lázaro,Barcelona,142,0.11935915976947607
Denis Suárez Fernández,Barcelona,169,0.11895987439206994
Charles Días Barbosa de Oliveira,Eibar,11,0.11535224282303812
Karim Benzema,Real Madrid,64,0.11291468543280345
Alen Halilović,Las Palmas,20,0.1126486162666066
Carlos Arturo Bacca Ahumada,Villarreal,17,0.11119293379604978
Philippe Coutinho Correia,Barcelona,479,0.11117458459459013
Darko Brašanac,Leganés,14,0.10913994823960041
Gonçalo Manuel Ganchinho Guedes,Valencia,62,0.10883122746398897
Iñaki Williams Arthuer,Athletic Club,29,0.10813793283642664
Pablo Daniel Piatti,Espanyol,19,0.10525330088305833
Aritz Aduriz Zubeldia,Athletic Club,23,0.1042408143621722
Pedro Pablo Hernández,Celta Vigo,2,0.10372775246168131
Oussama Tannane,Las Palmas,43,0.1018881692667934
Andreas Hoelgebaum Pereira,Valencia,19,0.10154546566585976
Sabin Merino Zuloaga,Athletic Club,15,0.10130676900947874
Fabián Ariel Orellana Valenzuela,Eibar,34,0.09853848378333402
Rubén Castro Martín,Real Betis,2,0.09601164213857674
Lucas Vázquez Iglesias,Real Madrid,24,0.09590075058666296
Luis Fernando Muriel Fruto,Sevilla,19,0.09495945304003765
Franco Damián Vázquez,Sevilla,43,0.09233760812287879
Jonathan Calleri,Las Palmas,30,0.0894483610150218
Markel Susaeta Laskurain,Athletic Club,36,0.08910338316601094
Raúl García Escudero,Athletic Club,58,0.08861549899384685
Íñigo Lekue Martínez,Athletic Club,82,0.08765222459190437
Jesús Navas González,Sevilla,29,0.0867381282252127
Christian Rivera Hernández,Eibar,12,0.08673507216789646
Emmanuel Okyere Boateng,Levante UD,15,0.08421922452713727
Miguel Arturo Layún Prado,Sevilla,22,0.08377045727064747
Joan Jordán Moreno,Eibar,82,0.08115154662990928
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,47,0.08097399460183617
Marcelo Vieira da Silva Júnior,Real Madrid,134,0.08049768795512002
Samuel Castillejo Azuaga,Villarreal,37,0.07996870718189618
José Luis Gayà Peña,Valencia,79,0.07980887464381275
Aarón Martín Caricol,Espanyol,53,0.07980495244057322
Francisco Alcácer García,Barcelona,70,0.0787498503824955
Pedro Taunausú Domínguez Placeres,Las Palmas,78,0.07774477092623182
Takashi Inui,Eibar,71,0.0776035269505905
Joaquín Sánchez Rodríguez,Real Betis,81,0.07562214926657447
Andrés Iniesta Luján,Barcelona,799,0.0745486743907127
Julián Omar Ramos Suárez,Leganés,27,0.07349057053798216
Iago Aspas Juncal,Celta Vigo,43,0.07345550037516496
Aleix Vidal Parreu,Barcelona,101,0.07313684332366062
Víctor Camarasa Ferrando,Real Betis,29,0.07306865626703397
Esteban Félix Granero Molina,Espanyol,17,0.07262062708629613
Brais Méndez Portela,Celta Vigo,28,0.07256933131520389
Pablo Fornals Malla,Villarreal,51,0.07230020448901953
Nordin Amrabat,Leganés,18,0.0705675720512613
Enrique García Martínez,Eibar,24,0.06983798355253756
Denis Cheryshev,Villarreal,14,0.06948508973888873
Rodrigo Moreno Machado,Valencia,61,0.06935997432477572
Rubén Peña Jiménez,Eibar,61,0.06930551302768422
Ander Iturraspe Derteano,Athletic Club,91,0.06923819005477115
José Manuel Jurado Marín,Espanyol,16,0.06890328261073508
Nabil El Zhar,Leganés,27,0.06863109093487148
Iván López Álvarez,Levante UD,27,0.06828338655144031
Papa Kouly Diop,Eibar,41,0.06778066360938026
Toni Kroos,Real Madrid,132,0.06735513583319754
Marc Navarro Ceciliano,Espanyol,47,0.0663602320488435
José Ángel Valdés Díaz,Eibar,61,0.06601589995456256
Guido Hernán Pizarro,Sevilla,18,0.06580490835035124
Sergio León Limones,Real Betis,18,0.06331802218068694
Leonardo Carrilho Baptistão,Espanyol,28,0.06330182870937623
Papa Kouly Diop,Espanyol,20,0.06289007061081163
Miguel Ángel Guerrero Martín,Leganés,7,0.06253745616764965
Luka Modrić,Real Madrid,135,0.06234969699471833
Matías Nahuel Leiva Esquivel,Real Betis,30,0.06215597951457753
Cristian Tello Herrera,Real Betis,32,0.06215153891595322
Cheick Doukouré,Levante UD,23,0.06193845260312356
Sergio Escudero Palomo,Sevilla,51,0.0617075834621248
Juan José Narváez Solarte,Real Betis,30,0.06013397796412713
Sergi Roberto Carnicer,Barcelona,968,0.059975643135174825
Riza Durmisi,Real Betis,52,0.05973975952240691
Fabián Ruiz Peña,Real Betis,77,0.05935321114333344
Beñat Etxebarria Urkiaga,Athletic Club,32,0.05878868636938914
Ander Capa Rodríguez,Eibar,17,0.058641672650781324
