player_name,team_name,passes,pass_danger
Samuel García Sánchez,Levante UD,2,0.13650016301982798
Marco Asensio Willemsen,Real Madrid,45,0.13226706411319306
Lucas Vázquez Iglesias,Real Madrid,24,0.12937214376884879
Fabián Ariel Orellana Valenzuela,Eibar,34,0.12530819242924437
Enes Ünal,Villarreal,7,0.12338381430870685
Aritz Aduriz Zubeldia,Athletic Club,23,0.1229980765984785
Pedro Pablo Hernández,Celta Vigo,2,0.11964965000445614
Nicola Sansone,Villarreal,24,0.1191484600933221
Iñigo Córdoba Kerejeta,Athletic Club,28,0.11914034384134513
David Remeseiro Salgueiro,Levante UD,21,0.11898000808750424
Manuel Agudo Durán,Sevilla,7,0.1167519067229563
Carlos Joaquín Correa,Sevilla,18,0.1142991237951295
Gonçalo Manuel Ganchinho Guedes,Valencia,62,0.11325698157329009
Andreas Hoelgebaum Pereira,Valencia,19,0.11238866210525644
Ousmane Dembélé,Barcelona,255,0.10972187631795567
Iñaki Williams Arthuer,Athletic Club,29,0.10943632963297696
Gerard Deulofeu Lázaro,Barcelona,142,0.10664275134566518
Lionel Andrés Messi Cuccittini,Barcelona,1137,0.1052476362487218
Hernán Darío Toledo,Las Palmas,4,0.10412593152939262
Luis Alberto Suárez Díaz,Barcelona,538,0.10334977138331598
Takashi Inui,Eibar,71,0.10198594681722176
Santiago Mina Lorenzo,Valencia,20,0.10058192831694426
Pablo Daniel Piatti,Espanyol,19,0.09935554586380284
Miguel Arturo Layún Prado,Sevilla,22,0.09897194853398467
Rubén Castro Martín,Real Betis,2,0.09892887706015709
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,47,0.09828711830486588
Jesús Navas González,Sevilla,29,0.09643170858032853
Joan Jordán Moreno,Eibar,82,0.09558493327143375
Markel Susaeta Laskurain,Athletic Club,36,0.09449506949453661
Philippe Coutinho Correia,Barcelona,479,0.0938791938949404
Gerard Moreno Balaguero,Espanyol,47,0.09378055177907237
Enrique García Martínez,Eibar,24,0.0934476406565133
Oussama Tannane,Las Palmas,43,0.0917080965697239
Denis Suárez Fernández,Barcelona,169,0.09106381337326863
Samuel Castillejo Azuaga,Villarreal,37,0.0899662138505221
Karim Benzema,Real Madrid,64,0.08951761672218134
José Luis Gayà Peña,Valencia,79,0.0888807295402306
Marcelo Vieira da Silva Júnior,Real Madrid,134,0.08833683657729406
Aarón Martín Caricol,Espanyol,53,0.08822947136090993
Alen Halilović,Las Palmas,20,0.08796912901566786
José Manuel Jurado Marín,Espanyol,16,0.08698177693594689
Sabin Merino Zuloaga,Athletic Club,15,0.08611542030315428
Julián Omar Ramos Suárez,Leganés,27,0.08554925230741607
Iván López Álvarez,Levante UD,27,0.08548524507955786
Ryad Boudebouz,Real Betis,9,0.0850563102180209
Christian Rivera Hernández,Eibar,12,0.08493530655210234
Luis Fernando Muriel Fruto,Sevilla,19,0.0847090490968223
Charles Días Barbosa de Oliveira,Eibar,11,0.08404033672379582
Claudio Beauvue,Leganés,4,0.08319893433107939
Franco Damián Vázquez,Sevilla,43,0.08291126224967756
Íñigo Lekue Martínez,Athletic Club,82,0.08197602136684119
Aleix Vidal Parreu,Barcelona,101,0.08109250063014889
José Manuel Arnáiz Díaz,Barcelona,3,0.08092723911123106
Rodrigo Moreno Machado,Valencia,61,0.07947490883942941
José Ángel Valdés Díaz,Eibar,61,0.07938870032741874
Jonathan Calleri,Las Palmas,30,0.07592705468973016
Ander Iturraspe Derteano,Athletic Club,91,0.07578374599436005
Juan José Narváez Solarte,Real Betis,30,0.07577068575368531
Andrés Iniesta Luján,Barcelona,799,0.07514238046855194
Esteban Félix Granero Molina,Espanyol,17,0.07504182746535457
Darko Brašanac,Leganés,14,0.07454018469479465
Raúl García Escudero,Athletic Club,58,0.07424113199088532
Carlos Arturo Bacca Ahumada,Villarreal,17,0.07384677575573889
Pablo Fornals Malla,Villarreal,51,0.07383904266110289
Cristian Tello Herrera,Real Betis,32,0.07184292758774297
Papa Kouly Diop,Eibar,41,0.07140051816766535
Cheick Doukouré,Levante UD,23,0.06995268346261603
Ander Capa Rodríguez,Eibar,17,0.06927236646908273
Guido Hernán Pizarro,Sevilla,18,0.068976908839903
Gareth Frank Bale,Real Madrid,43,0.06858911318440203
Toni Kroos,Real Madrid,132,0.0680129428883431
Sergio Escudero Palomo,Sevilla,51,0.06764541612156201
Iago Aspas Juncal,Celta Vigo,43,0.06719240448804474
Pedro Taunausú Domínguez Placeres,Las Palmas,78,0.06702246284673649
Emmanuel Okyere Boateng,Levante UD,15,0.06685255251885658
Denis Cheryshev,Villarreal,14,0.06674762898134043
Matías Nahuel Leiva Esquivel,Real Betis,30,0.06582287905704595
Miguel Ángel Guerrero Martín,Leganés,7,0.06573917655320888
Sergio León Limones,Real Betis,18,0.0647464304439405
Joaquín Sánchez Rodríguez,Real Betis,81,0.06431174660971584
Luka Modrić,Real Madrid,135,0.06420869114949328
Francisco Alcácer García,Barcelona,70,0.06362829092570237
Marc Navarro Ceciliano,Espanyol,47,0.06329597857526101
Papa Kouly Diop,Espanyol,20,0.06316328927086154
Sergi Roberto Carnicer,Barcelona,968,0.06236982848200727
Dídac Vilá Rosselló,Espanyol,3,0.06178670090591378
Rubén Peña Jiménez,Eibar,61,0.06166053778312724
Riza Durmisi,Real Betis,52,0.06122120745354842
Jordi Alba Ramos,Barcelona,1174,0.06098682530657458
Joseba Zaldúa Bengoetxea,Leganés,39,0.060733521951543065
Beñat Etxebarria Urkiaga,Athletic Club,32,0.06068782841933058
Nordin Amrabat,Leganés,18,0.060431300586080455
Mateo Kovačić,Real Madrid,45,0.05982843239438177
Javier Eraso Goñi,Leganés,17,0.05982735437179333
Víctor Sánchez Mata,Espanyol,54,0.058894038990054236
Sergio García De La Fuente,Espanyol,12,0.058219217759499675
Jaume Vicent Costa Jordá,Villarreal,35,0.05804700578423109
Víctor Camarasa Ferrando,Real Betis,29,0.05782262596963534
Daniel Wass,Celta Vigo,42,0.057561975054497484
