player_name,team_name,passes,pass_danger
Gaëtan Perrin,Lyon,8,0.17497208553135113
Gaëtan Laborde,Bordeaux,4,0.1540676085404929
Valentin Eysseric,OGC Nice,15,0.13455145398178334
Youssef Ben Ali,Toulouse,13,0.12839717051761806
Sébastien Wüthrich,Montpellier,3,0.11873190381254772
Aldo Kalulu Kyatengwa,Lyon,65,0.1174199391823468
Anthony Martial,AS Monaco,59,0.11680051984610205
Yannis Salibur,Guingamp,728,0.11253321869003659
Nabil Fekir,Lyon,209,0.1106901888510255
Alhassane Bangoura,Stade de Reims,159,0.11025768076488932
Ivan Ricardo Neves Abreu Cavaleiro,AS Monaco,158,0.10941758604440205
Djamel Bakar,Montpellier,66,0.10633997193170712
Alexis Araujo,Lille,3,0.1062219303499588
Florian Thauvin,Marseille,458,0.10543708270667763
Henri Bienvenu Ntsama,Troyes,38,0.10518963570195325
Hervé Bazile,Caen,409,0.10508979831792047
Kamil Grosicki,Rennes,652,0.10492846447030685
Mathieu Valbuena,Lyon,1319,0.10457291141164417
Kylian Mbappé Lottin,AS Monaco,88,0.10443038890388247
Steve Michel Mounié,Montpellier,15,0.10389587309130774
Nicolas Benezet,Guingamp,545,0.10382075635155909
Paul-Georges Ntep de Madiba,Rennes,416,0.10347127203328618
Valentin Lavigne,Lorient,59,0.10251576198389081
Sofiane Boufal,Lille,1094,0.10167072995607315
Wahbi Khazri,Bordeaux,763,0.10108681727869727
Anthony Mounier,Montpellier,120,0.10087086532902209
Malcom Filipe Silva de Oliveira,Bordeaux,204,0.10079376224443853
Jules Iloki,Nantes,421,0.10025772349900616
Neal Maupay,Saint-Étienne,123,0.10002845782476076
Julien Bègue,Guingamp,17,0.09972818974392693
Ola Toivonen,Rennes,3,0.09957934312156731
Bernardo Mota Veiga de Carvalho e Silva,AS Monaco,1025,0.09957488409907428
Jimmy Cabot,Troyes,376,0.09899919810096121
Jean-Christophe Bahebeck,Saint-Étienne,268,0.09889681554749657
Diego Gómez,Angers,14,0.09881316355500296
Rodrigue Casimir Ninga,Montpellier,578,0.09850967312544591
Hicham M''Laab,Nantes,13,0.09808127752582427
Valentin Eysseric,Saint-Étienne,952,0.09789007382142595
Georges-Kévin Nkoudou Mbida,Marseille,764,0.0978659482243599
Romain Alessandrini,Marseille,559,0.09742033350775646
Kévin Monnet-Paquet,Saint-Étienne,777,0.09665594475761606
Ousmane Dembélé,Rennes,718,0.09635013844457559
Romain Hamouma,Saint-Étienne,584,0.09604474076937217
Denis Bouanga,Lorient,45,0.09563660733947255
Marcos Paulo Mesquita Lopes,Lille,238,0.0954846464994864
Gnaly Maxwell Cornet,Lyon,543,0.09529624867083061
Nicolas de Roussel de Préville,Stade de Reims,1113,0.09468295756343865
Thievy Guivane Bifouma Koulossa,Stade de Reims,272,0.0946082426626482
Rachid Ghezzal,Lyon,1007,0.09459106808700299
