player_name,passes,pass_danger
Fraizer Campbell,2,0.22799214229380416
Bakary Sako,11,0.15926989047892254
Wilfried Zaha,53,0.14259475783377046
Raheem Sterling,54,0.13660568501385842
Kieran O''Neill Dowell,2,0.13238910176357266
Daniel Andre Sturridge,31,0.13054314551362733
Tyler Roberts,8,0.12863737415445636
Max-Alain Gradel,17,0.12775231252441013
Oscar dos Santos Emboaba Júnior,10,0.12338794701290698
Memphis Depay,20,0.12304506744799441
Daniel William John Ings,6,0.1218359201226049
Ruben Loftus-Cheek,2,0.11619810352004874
Wayne Mark Rooney,17,0.1158458521507827
Yannick Bolasie Yala,25,0.11465300404577425
Benik Afobe,18,0.11005953905928773
Kevin De Bruyne,118,0.10799751042159735
Jason Puncheon,96,0.1079045880472211
Diego da Silva Costa,27,0.10616835529621566
Ritchie De Laet,10,0.10335477393943009
Junior Stanislas,50,0.1025259473677057
Xherdan Shaqiri,103,0.10022855594031525
James McClean,22,0.09964672164764289
Jesús Navas González,36,0.09847378472903207
Sergio Leonel Agüero del Castillo,13,0.09828952280310917
Shinji Okazaki,4,0.09783835753638881
Willian Borges da Silva,107,0.09763616322016014
Jordon Ibe,28,0.09758098957822677
Juan Carlos Paredes Reasco,7,0.09688199021802815
Nordin Amrabat,17,0.0967254308647108
Ross Barkley,104,0.09612542331211499
Callum Wilson,16,0.0957073294640938
Arouna Koné,22,0.09540695582697198
Eden Hazard,128,0.09498895062344699
Anthony Martial,28,0.09447063564300921
Troy Deeney,66,0.09330061503304987
Jonathan Walters,30,0.09309664686958814
Nathan Dyer,20,0.0926050380960871
Ikechi Anya,16,0.09252044480392799
Andreas Hoelgebaum Pereira,18,0.0911365911930016
Jamie Vardy,35,0.0902965346541938
Connor Wickham,25,0.08951286315485227
Craig Gardner,36,0.0884858169100817
Chung-Yong Lee,36,0.08806742554278643
Riyad Mahrez,80,0.08796847010765521
Juan Manuel Mata García,45,0.08523442566101108
Aleksandar Kolarov,117,0.08457497074333349
Séamus Coleman,41,0.08452784078737659
Emmanuel Adebayor,64,0.08439720209662564
Bamidele Alli,31,0.08434511799549214
Lewis Grabban,29,0.08423014144210393
Philippe Coutinho Correia,52,0.08407384323129444
David Josué Jiménez Silva,94,0.08394405316578184
Jordan Brian Henderson,27,0.0831399444900797
Adam David Lallana,47,0.08211829330581705
Oluwaseyi Babajide Ojo,27,0.0820424379571145
Aaron Lennon,60,0.08175066562970784
Loïc Rémy,5,0.08128005294832372
Joshua King,51,0.0812605691027322
Tom Cleverley,56,0.07982946275490178
Bojan Krkíc Pérez,120,0.07972648979928977
Robert Kenedy Nunes do Nascimento,15,0.07906522781629156
Romelu Lukaku Menama,40,0.0787909875502252
Christian Dannemann Eriksen,73,0.07801832063612782
Tammy Bakumo-Abraham,5,0.07772445081049122
Jonathan Leko,18,0.07740065993577977
Marc Albrighton,56,0.07739245696249675
Erik Lamela,30,0.07700171830085223
Bryan Oviedo,10,0.07638900763058712
Glenn Murray,10,0.07500382648891497
Francesc Fàbregas i Soler,110,0.07474646687655918
Alberto Moreno Pérez,64,0.07458237772745216
Ashley Young,43,0.07403728159041058
Pedro Eliezer Rodríguez Ledesma,80,0.07354979549200893
Bertrand Isidore Traoré,20,0.07334481639369742
James Philip Milner,69,0.07316045873908288
Leighton Baines,140,0.0727066765339721
Tom Carroll,19,0.07240640971826588
El-Hadji Baye Oumar Niasse,13,0.07183987477638981
Roberto Firmino Barbosa de Oliveira,43,0.07173409680940578
Ramires Santos do Nascimento,52,0.07173342938526345
Almen Abdi,43,0.0716755510321398
Harry Kane,25,0.07081961311804226
Sergi Canós Tenes,4,0.06960819210319522
Daley Blind,65,0.06944004588349975
Craig Dawson,41,0.0693289634342373
Matt Ritchie,132,0.06927972394735868
Mame Biram Diouf,13,0.0689924991056246
Marko Arnautović,143,0.06890247326087959
James Grant Chester,23,0.06889890613170965
Wilfried Guemiand Bony,29,0.06793226992559008
Christian Fuchs,155,0.06693425724976783
Peter Crouch,10,0.06692508090196583
Pape N''Diaye Souaré,135,0.06681028189141275
Bradley Shaun Smith,50,0.06607971395158378
Jordon Mutch,29,0.06592912895705579
Odion Jude Ighalo,45,0.06578395346901882
Yohan Cabaye,123,0.06551296201270204
Marc Pugh,29,0.06526502533484722
Joe Allen,40,0.06526340359683537
Kelechi Promise Iheanacho,10,0.0645566206577998
José Leonardo Ulloa,24,0.06372314610393977
Charlie Adam,90,0.0634922582977563
César Azpilicueta Tanco,96,0.06250292729419425
Marouane Fellaini-Bakkioui,47,0.06121494748546862
Ben Watson,97,0.06097490166739901
José Salomón Rondón Giménez,18,0.060758724747861675
Christian Benteke Liolo,28,0.06073296735735415
Allan Romeo Nyom,62,0.0602351877395583
Fernando Luiz Rosa,84,0.06006966531599356
Darren Fletcher,32,0.060053605730654706
Kyle Walker,53,0.059875458162481535
Glen Johnson,149,0.05968729026682555
Dwight Gayle,10,0.05896531194545511
Nathaniel Edwin Clyne,62,0.05858670273455964
Cameron Brannagan,96,0.05852979904297415
Marco van Ginkel,32,0.05794057922074189
Etienne Capoue,68,0.05781718907647443
Nacer Chadli,3,0.05731068669595243
Andrew Philip King,7,0.056424646418801135
Ander Herrera Agüera,59,0.055580422201147776
Bacary Sagna,170,0.055408530951047724
Danny Rose,82,0.05488907794444334
N''Golo Kanté,96,0.05486391706806759
Nemanja Matić,104,0.05411140848505376
Charlie Daniels,170,0.05401215528888682
Danny Drinkwater,137,0.05327500326556092
Tony Hibbert,19,0.0529034188663595
Danny Simpson,67,0.05264853544427269
Ryan Mason,9,0.05059495735216504
José Luis Sanmartín Mato,28,0.049805023415853626
Gareth Barry,64,0.04977419531493602
Mile Jedinak,117,0.04913556316132296
Michael Carrick,43,0.04895007328761615
Muhamed Bešić,50,0.04767751350342934
Joel Ward,115,0.04702811990161589
Fernando Francisco Reges,42,0.04687366922151608
Abdul Rahman Baba,73,0.04678030448478065
Mario Suárez Mata,4,0.046704780243383946
Ibrahim Afellay,92,0.046215550678148844
Valon Behrami,52,0.04569321124358324
Eunan O''Kane,17,0.045474500012882745
Simon Francis,181,0.04543947627661881
