player_name,team_name,passes,pass_danger
Fraizer Campbell,Crystal Palace,2,0.36424946146642806
Bakary Sako,Crystal Palace,10,0.32588819263518987
Nacer Chadli,Tottenham Hotspur,3,0.2617620731322951
Mame Biram Diouf,Stoke City,11,0.2519531924644763
Juan Carlos Paredes Reasco,Watford,5,0.25030739364033705
Callum Wilson,AFC Bournemouth,15,0.24921790750199133
Oscar dos Santos Emboaba Júnior,Chelsea,10,0.23457142301777645
Ritchie De Laet,Leicester City,9,0.22552911709805545
Daniel Andre Sturridge,Liverpool,23,0.20330164727187847
James McClean,West Bromwich Albion,10,0.20226320774058854
Diego da Silva Costa,Chelsea,19,0.20091878921604006
Kieran O''Neill Dowell,Everton,2,0.19131745803487582
Tyler Roberts,West Bromwich Albion,4,0.1872234105745223
Wilfried Zaha,Crystal Palace,34,0.18701094858267417
Shinji Okazaki,Leicester City,4,0.18382088603820718
Troy Deeney,Watford,45,0.17977015366416657
Ikechi Anya,Watford,12,0.17799073497148044
Andreas Hoelgebaum Pereira,Manchester United,17,0.17078282996973768
Raheem Sterling,Manchester City,37,0.16663020562311237
Wayne Mark Rooney,Manchester United,14,0.16136501211928117
Almen Abdi,Watford,27,0.16049817845891357
Jason Puncheon,Crystal Palace,73,0.15788071565492195
Kelechi Promise Iheanacho,Manchester City,8,0.15728051371877017
Kevin De Bruyne,Manchester City,74,0.15243997906647766
Arouna Koné,Everton,18,0.15137602212705414
Peter Crouch,Stoke City,9,0.14947315139583087
Odion Jude Ighalo,Watford,37,0.1471257686763807
Chung-Yong Lee,Crystal Palace,29,0.1432758025057197
Xherdan Shaqiri,Stoke City,78,0.13936340119623866
Daniel William John Ings,Liverpool,6,0.13696158335002742
Ruben Loftus-Cheek,Chelsea,1,0.13674567863410161
Riyad Mahrez,Leicester City,61,0.1363190378932899
Eden Hazard,Chelsea,111,0.13602154123520876
Jesús Navas González,Manchester City,24,0.1359212141612394
Romelu Lukaku Menama,Everton,24,0.13591537173188256
Ross Barkley,Everton,81,0.13572895210830094
David Josué Jiménez Silva,Manchester City,72,0.13449412698916519
Benik Afobe,AFC Bournemouth,16,0.13447145626546436
Jonathan Walters,Stoke City,14,0.13332162096583283
Max-Alain Gradel,AFC Bournemouth,9,0.13239219498590252
El-Hadji Baye Oumar Niasse,Everton,12,0.1277750474386288
Harry Kane,Tottenham Hotspur,20,0.12772254656692647
Loïc Rémy,Chelsea,5,0.12760557104149833
Willian Borges da Silva,Chelsea,80,0.12604323377270327
Adam David Lallana,Liverpool,42,0.12297533238549885
Philippe Coutinho Correia,Liverpool,45,0.12032819165081364
Joshua King,AFC Bournemouth,38,0.12021307988528808
Roberto Firmino Barbosa de Oliveira,Liverpool,36,0.11759234111834888
Christian Dannemann Eriksen,Tottenham Hotspur,62,0.11732095800071299
Bamidele Alli,Tottenham Hotspur,26,0.11598222836210298
Junior Stanislas,AFC Bournemouth,31,0.11529752683157722
José Salomón Rondón Giménez,West Bromwich Albion,11,0.11505635412652589
Connor Wickham,Crystal Palace,18,0.11053282719983704
Emmanuel Adebayor,Crystal Palace,50,0.10890553469650101
James Philip Milner,Liverpool,53,0.1077301977164174
Sergio Leonel Agüero del Castillo,Manchester City,12,0.1059583687086116
Alberto Moreno Pérez,Liverpool,57,0.10481086220640076
Nordin Amrabat,Watford,13,0.10430672624222516
Anthony Martial,Manchester United,19,0.10239009651531283
Joe Allen,Liverpool,36,0.10200949188149681
Christian Fuchs,Leicester City,100,0.0994953942101511
Leighton Baines,Everton,100,0.09771806859888521
Tom Carroll,Tottenham Hotspur,19,0.09681592757366014
Erik Lamela,Tottenham Hotspur,21,0.09601354982927714
Bojan Krkíc Pérez,Stoke City,97,0.09502684640034186
Jonathan Leko,West Bromwich Albion,13,0.09450141021426949
Darren Fletcher,West Bromwich Albion,20,0.09395798566127882
Craig Gardner,West Bromwich Albion,24,0.09365082670828116
Jamie Vardy,Leicester City,23,0.0933535151057872
Pedro Eliezer Rodríguez Ledesma,Chelsea,62,0.0926227065620337
Marc Albrighton,Leicester City,25,0.0926082936036039
Kyle Walker,Tottenham Hotspur,45,0.0923467838565183
Mario Suárez Mata,Watford,4,0.09208830234935712
Aleksandar Kolarov,Manchester City,81,0.0888360612955734
Tom Cleverley,Everton,48,0.08796127613601429
N''Golo Kanté,Leicester City,80,0.08603996172974675
Ben Watson,Watford,64,0.08442043969690821
Christian Benteke Liolo,Liverpool,19,0.08274447821093418
Yohan Cabaye,Crystal Palace,96,0.08208596660220045
Francesc Fàbregas i Soler,Chelsea,90,0.0819130407535439
Séamus Coleman,Everton,24,0.08113157289691782
Charlie Adam,Stoke City,60,0.0807698535467652
Aaron Lennon,Everton,50,0.08073738519155066
Oluwaseyi Babajide Ojo,Liverpool,19,0.07977565841016288
Marko Arnautović,Stoke City,102,0.07511607281055997
Marc Pugh,AFC Bournemouth,22,0.07352442936446167
Claudio Ariel Yacob,West Bromwich Albion,26,0.07195700870137266
Danny Drinkwater,Leicester City,107,0.0713083987413918
Jordan Brian Henderson,Liverpool,24,0.07062189296649941
Nathan Dyer,Leicester City,17,0.06996323539303884
Craig Dawson,West Bromwich Albion,28,0.06984984638061591
Glenn Murray,AFC Bournemouth,7,0.06969029615895411
Memphis Depay,Manchester United,12,0.06937433721446452
Yannick Bolasie Yala,Crystal Palace,17,0.06725236378886217
Juan Manuel Mata García,Manchester United,35,0.06701920726541939
Valon Behrami,Watford,39,0.06677264115342685
Nathaniel Edwin Clyne,Liverpool,53,0.06666850091075596
Marco van Ginkel,Stoke City,21,0.06594295106821954
Ander Herrera Agüera,Manchester United,46,0.0644749579078493
Fernando Luiz Rosa,Manchester City,69,0.06381589572167151
Wilfried Guemiand Bony,Manchester City,20,0.06369636824047309
Ramires Santos do Nascimento,Chelsea,43,0.0628745201356047
Allan Romeo Nyom,Watford,35,0.06247154445888526
Etienne Capoue,Watford,52,0.06221666995533556
Mile Jedinak,Crystal Palace,92,0.0618924987675248
Nemanja Matić,Chelsea,91,0.05980109322833232
Bacary Sagna,Manchester City,115,0.05964452312151008
Pape N''Diaye Souaré,Crystal Palace,99,0.05774639822155858
Gareth Barry,Everton,52,0.056948245893147176
Lewis Grabban,AFC Bournemouth,26,0.05605978615665937
Tammy Bakumo-Abraham,Chelsea,4,0.05496941346384156
Bertrand Isidore Traoré,Chelsea,16,0.05486405579620946
Jordon Ibe,Liverpool,25,0.05453056016136089
José Leonardo Ulloa,Leicester City,14,0.054434227063827674
Simon Francis,AFC Bournemouth,139,0.054428682399898336
Marouane Fellaini-Bakkioui,Manchester United,37,0.05376030053964962
César Azpilicueta Tanco,Chelsea,76,0.05322778419986047
Glen Johnson,Stoke City,111,0.05277387374102312
Robert Kenedy Nunes do Nascimento,Chelsea,14,0.05223312799577353
Darron Gibson,Everton,72,0.05189104497832287
Wes Morgan,Leicester City,43,0.050865220576220484
Mousa Sidi Yaya Dembélé,Tottenham Hotspur,57,0.04978693368591229
Matt Ritchie,AFC Bournemouth,94,0.049327401107524184
Dwight Gayle,Crystal Palace,4,0.04821649887556254
Harry Arter,AFC Bournemouth,92,0.04739396463225799
Ibrahim Afellay,Stoke City,79,0.047373193533890565
José Luis Sanmartín Mato,Stoke City,24,0.046378908510798116
Charlie Daniels,AFC Bournemouth,134,0.04542272770021895
Andrew Surman,AFC Bournemouth,119,0.04416951837781037
Phil Jones,Manchester United,32,0.04360673735522936
James McCarthy,Everton,72,0.04351590767130495
Sergi Canós Tenes,Liverpool,3,0.042964475934361875
Abdul Rahman Baba,Chelsea,58,0.042952028189357706
Michael Carrick,Manchester United,34,0.04285461446689127
Daley Blind,Manchester United,49,0.04285448968130756
Fabian Delph,Manchester City,17,0.042286687245123966
Ashley Young,Manchester United,33,0.04163410348100636
Joel Ward,Crystal Palace,84,0.04113366143863779
Danny Rose,Tottenham Hotspur,63,0.041122556352917415
Gnégnéri Yaya Touré,Manchester City,56,0.04082763156490923
Kasper Schmeichel,Leicester City,24,0.039883359841951495
Cameron Brannagan,Liverpool,86,0.03842298933122059
Erik Pieters,Stoke City,172,0.03786817341204328
Fernando Francisco Reges,Manchester City,36,0.037773281007623526
Nicolás Hernán Otamendi,Manchester City,68,0.037374986401257825
Eric Dier,Tottenham Hotspur,64,0.03601658987611317
Joe Hart,Manchester City,26,0.0358640459175596
Bradley Shaun Smith,Liverpool,38,0.035466147616680564
Jonas Olsson,West Bromwich Albion,5,0.03521328290066498
Tommy Elphick,AFC Bournemouth,25,0.03478214014372103
Emre Can,Liverpool,57,0.03371576254757794
Tony Hibbert,Everton,16,0.033570383123731944
Glenn Whelan,Stoke City,151,0.03292271431462718
Danny Simpson,Leicester City,51,0.031642344780451366
John Terry,Chelsea,40,0.031594336597860914
Simon Mignolet,Liverpool,24,0.03069011863671652
Nathan Aké,Watford,29,0.03038460687468124
Jordon Mutch,Crystal Palace,23,0.03008600069506604
Damien Delaney,Crystal Palace,63,0.02987870704382972
José Ramiro Funes Mori,Everton,33,0.029789009977727238
Martín Gastón Demichelis,Manchester City,37,0.029330963946209942
Eunan O''Kane,AFC Bournemouth,13,0.02909088869022302
Kevin Linford Stewart,Liverpool,87,0.028517015204677927
James Grant Chester,West Bromwich Albion,17,0.02807251780673693
Wayne Hennessey,Crystal Palace,32,0.027532698825244152
Toby Alderweireld,Tottenham Hotspur,49,0.027429369510041487
