player_name,team_name,passes,pass_danger
Fraizer Campbell,Crystal Palace,2,0.2075990631598636
Florian Thauvin,Newcastle United,6,0.17667571445695704
Federico Nicolás Cartabia,RC Deportivo La Coruña,2,0.1611688979357661
Samuel García Sánchez,Levante UD,2,0.13197328960903554
Raheem Sterling,Manchester City,54,0.12992516584554417
Tyler Roberts,West Bromwich Albion,8,0.1297043150396428
Joel Nathaniel Campbell Samuels,Arsenal,5,0.12850446883314404
Danny Graham,Sunderland,3,0.12743266132415262
Ayoze Pérez Gutiérrez,Newcastle United,11,0.1269076705685054
Marco Asensio Willemsen,Real Madrid,45,0.12682842100658437
Lucas Vázquez Iglesias,Real Madrid,24,0.12544895278507498
Max-Alain Gradel,AFC Bournemouth,17,0.12380031070143023
Daniel Andre Sturridge,Liverpool,31,0.12320635044217976
David Remeseiro Salgueiro,Levante UD,21,0.12207806236303087
Wilfried Zaha,Crystal Palace,74,0.12134467824582047
Fabián Ariel Orellana Valenzuela,Eibar,34,0.11987783390666434
Mesut Özil,Arsenal,76,0.11943317061456177
Kieran O''Neill Dowell,Everton,2,0.1183886393034161
Pedro Pablo Hernández,Celta Vigo,2,0.11703204772141498
Memphis Depay,Manchester United,20,0.11687001412604894
Aritz Aduriz Zubeldia,Athletic Club,23,0.11680680341767635
Oscar dos Santos Emboaba Júnior,Chelsea,10,0.11476512991486372
Iñigo Córdoba Kerejeta,Athletic Club,28,0.11445705921546716
Daniel William John Ings,Liverpool,6,0.11437813244682575
Duncan Watmore,Sunderland,13,0.11330176671808037
Jack Wilshere,Arsenal,37,0.11317329206204718
Nicola Sansone,Villarreal,24,0.11272454929413234
Enes Ünal,Villarreal,7,0.11265173285653411
Wayne Mark Rooney,Manchester United,17,0.11151978622096914
Manuel Agudo Durán,Sevilla,7,0.11115423336558608
James McClean,West Bromwich Albion,72,0.11083795930400778
Andreas Hoelgebaum Pereira,Valencia,19,0.11068653416316561
Lucas Pérez Martínez,RC Deportivo La Coruña,29,0.11040439868417067
Yannick Bolasie Yala,Crystal Palace,42,0.11018229312638683
Iñaki Williams Arthuer,Athletic Club,29,0.10927762465043864
Gonçalo Manuel Ganchinho Guedes,Valencia,62,0.10923682114836308
Carlos Joaquín Correa,Sevilla,18,0.10778710037959656
Ritchie De Laet,Leicester City,10,0.10690724216369858
Juan Carlos Paredes Reasco,Watford,7,0.10664419885834173
Jeremain Lens,Sunderland,14,0.10656014915962804
Bakary Sako,Crystal Palace,17,0.10635991816861519
Moussa Sissoko,Newcastle United,44,0.10604381403222879
Kevin De Bruyne,Manchester City,118,0.10601611016446201
Jordan Veretout,Aston Villa,74,0.10551827175746978
Andre Green,Aston Villa,19,0.10530923017466835
Borja Valle Balonga,RC Deportivo La Coruña,22,0.10477595874436028
Alexis Alejandro Sánchez Sánchez,Arsenal,57,0.10437372052504283
Jason Puncheon,Crystal Palace,96,0.10404979897988403
Ruben Loftus-Cheek,Chelsea,2,0.1039413958213301
Ousmane Dembélé,Barcelona,255,0.10386309912689287
Stéphane Sessègnon,West Bromwich Albion,63,0.1024214778886278
Gerard Deulofeu Lázaro,Barcelona,142,0.10166661614289406
Pablo Daniel Piatti,Espanyol,19,0.10121069645670211
Xherdan Shaqiri,Stoke City,103,0.10074997580520345
Benik Afobe,AFC Bournemouth,18,0.10018098535571912
Diego da Silva Costa,Chelsea,27,0.10005637694596647
Emre Çolak,RC Deportivo La Coruña,52,0.09947477983267212
Lionel Andrés Messi Cuccittini,Barcelona,1137,0.0992995343068519
Hernán Darío Toledo,Las Palmas,4,0.09863839817251735
Olivier Giroud,Arsenal,23,0.0983679788229301
Saido Berahino,West Bromwich Albion,41,0.09833664957057528
Junior Stanislas,AFC Bournemouth,50,0.09823992658396845
Luis Alberto Suárez Díaz,Barcelona,538,0.09811942254456936
Santiago Mina Lorenzo,Valencia,20,0.09703583519310194
Takashi Inui,Eibar,71,0.09691368224718697
Miguel Arturo Layún Prado,Sevilla,22,0.09571130976527531
Willian Borges da Silva,Chelsea,107,0.09514882962929697
Siem Stefan de Jong,Newcastle United,24,0.09488807164973471
Jordon Ibe,Liverpool,30,0.09461509400280566
Wahbi Khazri,Sunderland,49,0.09448477399540249
Ikechi Anya,Watford,16,0.09418816256585279
Joan Jordán Moreno,Eibar,82,0.09397948454054673
Rubén Castro Martín,Real Betis,2,0.09372502895837373
Callum Wilson,AFC Bournemouth,16,0.09372474243742993
Juan Francisco Moreno Fuertes,RC Deportivo La Coruña,56,0.0935815032523151
Jamie Vardy,Leicester City,55,0.09338751832366948
Jesús Navas González,Manchester City,36,0.09314851320080542
Craig Gardner,West Bromwich Albion,73,0.09263721967890289
