player_name,team_name,passes,pass_danger
Aaron Mattia Tabacchi,Bologna,9,0.15254835395308666
Kingsley Coman,Juventus,29,0.13383909452606363
Accursio Bentivegna,Palermo,6,0.12378545478490581
Filippo Falco,Bologna,142,0.12246913876989811
Rodrigo Sebastián Aguirre Soto,Udinese,68,0.12004536573039847
Jonathan de Guzmán,Carpi,37,0.11870358083141092
Rey Manaj,Inter Milan,8,0.11558046223697653
Nicola Sansone,Sassuolo,1026,0.11458145154232116
Keita Baldé Diao,Lazio,670,0.11398265063039886
Alejandro Miguel Rodriguez,Sampdoria,3,0.113193534370877
Ante Rebić,Fiorentina,132,0.11304205012646325
Darko Lazović,Genoa,342,0.1127017957710004
Antonio Di Natale,Udinese,345,0.11185351102605498
Alessio Cerci,AC Milan,269,0.11178992157893065
Fernando Llorente Torres,Juventus,4,0.11174918806519445
Ricardo Kishna,Lazio,254,0.11019968722195159
Anderson Hernanes de Carvalho Andrade,Inter Milan,30,0.10899654508642408
Alessio Cerci,Genoa,194,0.10773448251347542
Domenico Berardi,Sassuolo,1076,0.10761055315552777
Alejandro Darío Gómez,Atalanta,1414,0.10718552659769728
Serge Gakpé,Atalanta,18,0.10704708896505508
Paulo Bruno Exequiel Dybala,Juventus,1230,0.1058671919723522
Franco Zuculini,Bologna,16,0.1052277455487336
Luca Siligardi,Hellas Verona,559,0.10495912697386482
M''Baye Babacar Niang,AC Milan,377,0.10475420112396733
Carlos Arturo Bacca Ahumada,AC Milan,679,0.10455509404842349
Antonio Cassano,Sampdoria,814,0.10391331346489711
Paweł Wszołek,Hellas Verona,615,0.10381474119227954
Antonio Candreva,Lazio,1266,0.10377626329529453
Mohamed Salah,AS Roma,1196,0.10365440557051188
Mario Barwuah Balotelli,AC Milan,361,0.10341987357985556
Adem Ljajić,Inter Milan,906,0.10263617318631255
Gervais Lombe Yao Kouassi,AS Roma,330,0.10236239473237177
Serge Gakpé,Genoa,200,0.10231405405872084
Matteo Politano,Sassuolo,445,0.1015593296682339
Marco D''Alessandro,Atalanta,373,0.10134010259103532
Diego Perotti,Genoa,665,0.10060278055215584
Jesús Joaquín Fernández Sáez de la Torre,AC Milan,36,0.10051495010687397
Rodrigo Sebastián Palacio,Inter Milan,581,0.10031573719828056
